# turn             x            px             y            py             z            pz   track state
   193   6.22370E-06  -3.29894E-06   0.00000E+00   0.00000E+00  -2.42003E-04   1.70000E-02            -9
   194   4.86648E-05  -3.27896E-06   0.00000E+00   0.00000E+00  -2.43266E-04   1.70000E-02            -9
   195   4.01485E-05   4.59876E-06   0.00000E+00   0.00000E+00  -2.44496E-04   1.70000E-02            -9
   196   1.09394E-06   1.45450E-06   0.00000E+00   0.00000E+00  -2.45769E-04   1.70000E-02            -9
   197   2.51157E-05  -5.17790E-06   0.00000E+00   0.00000E+00  -2.47052E-04   1.70000E-02            -9
   198   5.46379E-05   6.02614E-07   0.00000E+00   0.00000E+00  -2.48292E-04   1.70000E-02            -9
   199   1.88801E-05   4.93915E-06   0.00000E+00   0.00000E+00  -2.49538E-04   1.70000E-02            -9
   200   3.56984E-06  -2.56602E-06   0.00000E+00   0.00000E+00  -2.50824E-04   1.70000E-02            -9
   201   4.54023E-05  -3.91766E-06   0.00000E+00   0.00000E+00  -2.52091E-04   1.70000E-02            -9
   202   4.40999E-05   4.11950E-06   0.00000E+00   0.00000E+00  -2.53321E-04   1.70000E-02            -9
   203   2.78534E-06   2.28394E-06   0.00000E+00   0.00000E+00  -2.54589E-04   1.70000E-02            -9
   204   2.04936E-05  -5.02877E-06   0.00000E+00   0.00000E+00  -2.55874E-04   1.70000E-02            -9
   205   5.47818E-05  -2.85214E-07   0.00000E+00   0.00000E+00  -2.57119E-04   1.70000E-02            -9
   206   2.34449E-05   5.14177E-06   0.00000E+00   0.00000E+00  -2.58360E-04   1.70000E-02            -9
   207   1.61351E-06  -1.75786E-06   0.00000E+00   0.00000E+00  -2.59644E-04   1.70000E-02            -9
   208   4.16133E-05  -4.44186E-06   0.00000E+00   0.00000E+00  -2.60915E-04   1.70000E-02            -9
   209   4.75629E-05   3.51983E-06   0.00000E+00   0.00000E+00  -2.62145E-04   1.70000E-02            -9
   210   5.19720E-06   3.04642E-06   0.00000E+00   0.00000E+00  -2.63410E-04   1.70000E-02            -9
   211   1.60742E-05  -4.73238E-06   0.00000E+00   0.00000E+00  -2.64696E-04   1.70000E-02            -9
   212   5.41243E-05  -1.16471E-06   0.00000E+00   0.00000E+00  -2.65945E-04   1.70000E-02            -9
   213   2.81260E-05   5.19385E-06   0.00000E+00   0.00000E+00  -2.67182E-04   1.70000E-02            -9
   214   4.11880E-07  -8.98157E-07   0.00000E+00   0.00000E+00  -2.68464E-04   1.70000E-02            -9
   215   3.74087E-05  -4.83620E-06   0.00000E+00   0.00000E+00  -2.69739E-04   1.70000E-02            -9
   216   5.04359E-05   2.81731E-06   0.00000E+00   0.00000E+00  -2.70971E-04   1.70000E-02            -9
   217   8.25901E-06   3.71958E-06   0.00000E+00   0.00000E+00  -2.72230E-04   1.70000E-02            -9
   218   1.19866E-05  -4.29737E-06   0.00000E+00   0.00000E+00  -2.73516E-04   1.70000E-02            -9
   219   5.26846E-05  -2.01019E-06   0.00000E+00   0.00000E+00  -2.74771E-04   1.70000E-02            -9
   220   3.27864E-05   5.09394E-06   0.00000E+00   0.00000E+00  -2.76005E-04   1.70000E-02            -9
   221   7.43218E-11  -1.21107E-08   0.00000E+00   0.00000E+00  -2.77283E-04   1.70000E-02            -9
   222   3.29116E-05  -5.08911E-06   0.00000E+00   0.00000E+00  -2.78562E-04   1.70000E-02            -9
   223   5.26349E-05   2.03248E-06   0.00000E+00   0.00000E+00  -2.79796E-04   1.70000E-02            -9
   224   1.18813E-05   4.28372E-06   0.00000E+00   0.00000E+00  -2.81050E-04   1.70000E-02            -9
   225   8.35056E-06  -3.73644E-06   0.00000E+00   0.00000E+00  -2.82337E-04   1.70000E-02            -9
   226   5.05050E-05  -2.79695E-06   0.00000E+00   0.00000E+00  -2.83596E-04   1.70000E-02            -9
   227   3.72896E-05   4.84500E-06   0.00000E+00   0.00000E+00  -2.84828E-04   1.70000E-02            -9
   228   3.90125E-07   8.74291E-07   0.00000E+00   0.00000E+00  -2.86103E-04   1.70000E-02            -9
   229   2.82537E-05  -5.19314E-06   0.00000E+00   0.00000E+00  -2.87385E-04   1.70000E-02            -9
   230   5.40954E-05   1.18827E-06   0.00000E+00   0.00000E+00  -2.88622E-04   1.70000E-02            -9
   231   1.59581E-05   4.72234E-06   0.00000E+00   0.00000E+00  -2.89871E-04   1.70000E-02            -9
   232   5.27224E-06  -3.06600E-06   0.00000E+00   0.00000E+00  -2.91157E-04   1.70000E-02            -9
   233   4.76492E-05  -3.50200E-06   0.00000E+00   0.00000E+00  -2.92421E-04   1.70000E-02            -9
   234   4.15039E-05   4.45437E-06   0.00000E+00   0.00000E+00  -2.93652E-04   1.70000E-02            -9
   235   1.57063E-06   1.73505E-06   0.00000E+00   0.00000E+00  -2.94923E-04   1.70000E-02            -9
   236   2.35713E-05  -5.14519E-06   0.00000E+00   0.00000E+00  -2.96207E-04   1.70000E-02            -9
   237   5.47745E-05   3.09362E-07   0.00000E+00   0.00000E+00  -2.97448E-04   1.70000E-02            -9
   238   2.03702E-05   5.02263E-06   0.00000E+00   0.00000E+00  -2.98693E-04   1.70000E-02            -9
   239   2.84168E-06  -2.30567E-06   0.00000E+00   0.00000E+00  -2.99978E-04   1.70000E-02            -9
   240   4.42010E-05  -4.10471E-06   0.00000E+00   0.00000E+00  -3.01246E-04   1.70000E-02            -9
   241   4.53058E-05   3.93351E-06   0.00000E+00   0.00000E+00  -3.02476E-04   1.70000E-02            -9
   242   3.50710E-06   2.54493E-06   0.00000E+00   0.00000E+00  -3.03743E-04   1.70000E-02            -9
   243   1.90016E-05  -4.94662E-06   0.00000E+00   0.00000E+00  -3.05029E-04   1.70000E-02            -9
   244   5.46524E-05  -5.78584E-07   0.00000E+00   0.00000E+00  -3.06274E-04   1.70000E-02            -9
   245   2.49885E-05   5.17584E-06   0.00000E+00   0.00000E+00  -3.07514E-04   1.70000E-02            -9
